EVENTMSGTYPE,EVENTMSGACTIONTYPE,EVENTMSGTYPE_DESC,EVENTMSGACTIONTYPE_DESC
5,1,turnover,bad_pass
5,2,turnover,lost_ball
5,4,turnover,traveling
5,5,turnover,foul
5,7,turnover,discontinue_dribble
5,8,turnover,offensive_three_second_violation
5,10,turnover,eight_second_violation
5,11,turnover,shot_clock
5,12,turnover,inbound
5,13,turnover,backcourt
5,15,turnover,offensive_goaltending
5,17,turnover,lane_violation
5,18,turnover,jump_ball_violation
5,19,turnover,kicked_ball
5,20,turnover,illegal_assist
5,21,turnover,palming
5,24,turnover,ten_second_violation
5,33,turnover,punched_ball
5,34,turnover,swinging_elbows
5,35,turnover,basket_from_below
5,36,turnover,illegal_screen
5,37,turnover,offensive_foul
5,38,turnover,five_second_inbound
5,39,turnover,step_out_of_bounds
5,40,turnover,out_of_bounds_lost_ball
5,41,turnover,possession_lost_ball
5,42,turnover,excess_timeout
5,45,turnover,out_of_bounds_bad_pass
6,1,foul,personal
6,2,foul,shooting
6,3,foul,loose_ball
6,4,foul,offensive
6,5,foul,inbound
6,6,foul,away_from_play
6,7,foul,elbow
6,8,foul,punch
6,9,foul,clear_path
6,10,foul,double_personal
6,11,foul,technical
6,12,foul,unsportsmanlike_technical
6,13,foul,hanging_technical
6,14,foul,flagrant_one
6,15,foul,flagrant_two
6,16,foul,double_technical
6,17,foul,defensive_three_second
6,18,foul,delay_technical
6,25,foul,excess_timeout_technical
6,26,foul,offensive_charge
6,27,foul,personal_block
6,28,foul,personal_take
6,29,foul,shooting_block
6,30,foul,too_many_players_technical
6,31,foul,transition_take
6,32,foul,unsportsmanlike_technical_flopping
6,33,foul,unsportsmanlike_technical_bench
7,1,violation,delay_of_game
7,2,violation,defensive_goaltending
7,3,violation,lane_violation
7,4,violation,jump_ball_violation
7,5,violation,kicked_ball
7,6,violation,double_lane